Epoch,Class0_Acc,Class0_Prob,Class1_Acc,Class1_Prob,Class2_Acc,Class2_Prob,Class3_Acc,Class3_Prob,Class4_Acc,Class4_Prob,Class5_Acc,Class5_Prob,Class6_Acc,Class6_Prob,Class7_Acc,Class7_Prob,Class8_Acc,Class8_Prob,Class9_Acc,Class9_Prob
1,0.589,0.5099902547756792,0.672,0.5503664563951315,0.632,0.4919619833934121,0.204,0.2565333027782035,0.497,0.3950955490208289,0.692,0.5116351739954189,0.327,0.25259904823116086,0.579,0.48089135008548695,0.827,0.7293288750798093,0.597,0.4863501874453214
2,0.722,0.6459448252050352,0.855,0.8027621407064726,0.602,0.5246714598232939,0.463,0.3763475466502132,0.619,0.521186455736417,0.648,0.5427144612251432,0.601,0.515423783782051,0.805,0.7303933149913792,0.855,0.8032738424563286,0.613,0.5546089596639031
3,0.828,0.7575701981559396,0.854,0.8043222733415896,0.648,0.5538859095292282,0.576,0.4821809157496191,0.789,0.6722214243409907,0.727,0.6341307755035669,0.622,0.5415745201917671,0.759,0.679059071460717,0.912,0.8807181090974482,0.883,0.8433835994480178
